AD,ED,borough_code,borough_name,ed_uid
23,1,QN,Queens,QN-AD23-ED001
23,2,QN,Queens,QN-AD23-ED002
23,3,QN,Queens,QN-AD23-ED003
23,4,QN,Queens,QN-AD23-ED004
23,5,QN,Queens,QN-AD23-ED005
23,6,QN,Queens,QN-AD23-ED006
23,7,QN,Queens,QN-AD23-ED007
23,8,QN,Queens,QN-AD23-ED008
23,9,QN,Queens,QN-AD23-ED009
23,10,QN,Queens,QN-AD23-ED010
23,11,QN,Queens,QN-AD23-ED011
23,12,QN,Queens,QN-AD23-ED012
23,13,QN,Queens,QN-AD23-ED013
23,14,QN,Queens,QN-AD23-ED014
23,15,QN,Queens,QN-AD23-ED015
23,16,QN,Queens,QN-AD23-ED016
23,17,QN,Queens,QN-AD23-ED017
23,18,QN,Queens,QN-AD23-ED018
23,19,QN,Queens,QN-AD23-ED019
23,20,QN,Queens,QN-AD23-ED020
23,21,QN,Queens,QN-AD23-ED021
23,22,QN,Queens,QN-AD23-ED022
23,23,QN,Queens,QN-AD23-ED023
23,24,QN,Queens,QN-AD23-ED024
23,25,QN,Queens,QN-AD23-ED025
23,26,QN,Queens,QN-AD23-ED026
23,27,QN,Queens,QN-AD23-ED027
23,28,QN,Queens,QN-AD23-ED028
23,29,QN,Queens,QN-AD23-ED029
23,30,QN,Queens,QN-AD23-ED030
23,31,QN,Queens,QN-AD23-ED031
23,32,QN,Queens,QN-AD23-ED032
23,33,QN,Queens,QN-AD23-ED033
23,34,QN,Queens,QN-AD23-ED034
23,35,QN,Queens,QN-AD23-ED035
23,36,QN,Queens,QN-AD23-ED036
23,37,QN,Queens,QN-AD23-ED037
23,38,QN,Queens,QN-AD23-ED038
23,39,QN,Queens,QN-AD23-ED039
23,40,QN,Queens,QN-AD23-ED040
23,41,QN,Queens,QN-AD23-ED041
23,42,QN,Queens,QN-AD23-ED042
23,43,QN,Queens,QN-AD23-ED043
23,44,QN,Queens,QN-AD23-ED044
23,45,QN,Queens,QN-AD23-ED045
23,46,QN,Queens,QN-AD23-ED046
23,47,QN,Queens,QN-AD23-ED047
23,48,QN,Queens,QN-AD23-ED048
23,49,QN,Queens,QN-AD23-ED049
23,50,QN,Queens,QN-AD23-ED050
23,51,QN,Queens,QN-AD23-ED051
23,52,QN,Queens,QN-AD23-ED052
23,53,QN,Queens,QN-AD23-ED053
23,54,QN,Queens,QN-AD23-ED054
23,55,QN,Queens,QN-AD23-ED055
23,56,QN,Queens,QN-AD23-ED056
23,57,QN,Queens,QN-AD23-ED057
23,58,QN,Queens,QN-AD23-ED058
23,59,QN,Queens,QN-AD23-ED059
23,60,QN,Queens,QN-AD23-ED060
23,61,QN,Queens,QN-AD23-ED061
23,62,QN,Queens,QN-AD23-ED062
23,63,QN,Queens,QN-AD23-ED063
23,64,QN,Queens,QN-AD23-ED064
23,65,QN,Queens,QN-AD23-ED065
23,66,QN,Queens,QN-AD23-ED066
23,67,QN,Queens,QN-AD23-ED067
23,68,QN,Queens,QN-AD23-ED068
23,69,QN,Queens,QN-AD23-ED069
23,70,QN,Queens,QN-AD23-ED070
23,71,QN,Queens,QN-AD23-ED071
23,72,QN,Queens,QN-AD23-ED072
23,73,QN,Queens,QN-AD23-ED073
23,74,QN,Queens,QN-AD23-ED074
24,1,QN,Queens,QN-AD24-ED001
24,2,QN,Queens,QN-AD24-ED002
24,3,QN,Queens,QN-AD24-ED003
24,4,QN,Queens,QN-AD24-ED004
24,5,QN,Queens,QN-AD24-ED005
24,6,QN,Queens,QN-AD24-ED006
24,7,QN,Queens,QN-AD24-ED007
24,8,QN,Queens,QN-AD24-ED008
24,9,QN,Queens,QN-AD24-ED009
24,10,QN,Queens,QN-AD24-ED010
24,11,QN,Queens,QN-AD24-ED011
24,12,QN,Queens,QN-AD24-ED012
24,13,QN,Queens,QN-AD24-ED013
24,14,QN,Queens,QN-AD24-ED014
24,15,QN,Queens,QN-AD24-ED015
24,16,QN,Queens,QN-AD24-ED016
24,17,QN,Queens,QN-AD24-ED017
24,18,QN,Queens,QN-AD24-ED018
24,19,QN,Queens,QN-AD24-ED019
24,20,QN,Queens,QN-AD24-ED020
24,21,QN,Queens,QN-AD24-ED021
24,22,QN,Queens,QN-AD24-ED022
24,23,QN,Queens,QN-AD24-ED023
24,24,QN,Queens,QN-AD24-ED024
24,25,QN,Queens,QN-AD24-ED025
24,26,QN,Queens,QN-AD24-ED026
24,27,QN,Queens,QN-AD24-ED027
24,28,QN,Queens,QN-AD24-ED028
24,29,QN,Queens,QN-AD24-ED029
24,30,QN,Queens,QN-AD24-ED030
24,31,QN,Queens,QN-AD24-ED031
24,32,QN,Queens,QN-AD24-ED032
